mack,nam,quy,eps,roe,roa,pb,pe,lnst_yoy,nophaitra_vcsh,vonhoa_tts
PHR,2025,1,705.3083756,0.025755383,0.017343142,2.21242031,89.74797718,0.310386047,0.457504202,1.448558772
PHR,2025,2,671.3670938,0.023477958,0.015790593,2.167712783,90.85938313,0.346068967,0.516602455,1.36178573
PHR,2025,3,1914.665619,0.064252037,0.043237857,1.85942257,28.88232778,1.539264768,0.457089374,1.215020161
PLX,2020,1,-1589.7495,-0.075675301,-0.031004005,2.608342587,-22.95959207,-2.400674606,1.508154072,0.789136564
PLX,2020,2,904.4457833,0.050054234,0.019520059,2.983557094,49.20140137,-0.091443715,1.618233051,0.887063133
PLX,2020,3,707.5108238,0.039944562,0.015717899,3.315386935,71.09431871,-0.171793617,1.466064737,1.055345744
PLX,2020,4,774.0244312,0.04244275,0.016975376,3.46547497,70.54040906,-0.110752069,1.53326578,1.076773704
PLX,2021,1,511.0632463,0.029091504,0.011717972,3.355615499,107.8144445,NULL,1.43649091,1.105099258
PLX,2021,2,1180.361804,0.059180871,0.024113763,3.138464212,46.42644298,0.422741097,1.471382579,1.026702721
PLX,2021,3,59.95401683,0.002892774,0.001230397,2.938323168,860.6595977,-0.913643622,1.231630119,1.064679624
PLX,2021,4,468.2348359,0.025128054,0.01114479,3.00780636,115.113178,-0.303274737,1.277227549,1.065119955
PLX,2022,1,191.5145913,0.015548151,0.005998675,3.019684076,288.2286912,-0.399045073,1.901795318,0.842867109
PLX,2022,2,-23.6396401,-0.004879052,-0.001630317,2.448611968,-1704.763686,-1.083999748,2.09211732,0.631531942
PLX,2022,3,77.8738035,0.007212459,0.002495783,1.990519444,422.4784012,1.386181567,1.689064005,0.588550661
PLX,2022,4,895.2474887,0.051809149,0.019297543,1.816907698,35.40920293,1.001476061,1.680655768,0.540818274
PLX,2023,1,487.7061089,0.02373208,0.009320822,2.092419913,76.78804779,0.507514059,1.414660236,0.693246722
PLX,2023,2,639.9289721,0.031640062,0.012020166,2.110014495,58.36585251,NULL,1.853675159,0.595351147
PLX,2023,3,580.9656393,0.02588216,0.009027614,2.072060656,64.54770724,2.842628034,1.880090761,0.581940646
PLX,2023,4,521.7818128,0.027394089,0.009772304,1.857806043,66.1195909,-0.437737501,1.7284202,0.550173724
PLX,2024,1,844.4676609,0.038068632,0.014124396,1.921635302,44.16983826,0.698470383,1.663275478,0.58703959
PLX,2024,2,948.9135968,0.043732206,0.016570771,2.255446167,43.10192218,0.44439064,1.613495908,0.695675546
PLX,2024,3,51.84547524,0.004557831,0.001801169,2.450058466,858.3198398,-0.82110092,1.447742667,0.805557435
PLX,2024,4,429.1486512,0.021041122,0.008054915,2.015868728,87.38230889,-0.227212222,1.773123575,0.586249435
PLX,2025,1,105.0020662,0.007165576,0.002613206,2.114711039,376.6592549,-0.813945368,1.711226255,0.627867481
PLX,2025,2,1075.407987,0.049351143,0.017029715,2.088432353,34.63801688,0.106063692,2.093363355,0.542462323
PLX,2025,3,480.6429391,0.024725322,0.007895681,1.870478754,71.15469139,4.410347442,2.168719368,0.474521392
PNJ,2020,1,1813.498883,0.085414398,0.048059865,2.439694669,25.86160953,-0.047776843,0.682755056,1.258527262
PNJ,2020,2,140.6357452,0.006536897,0.003825635,3.193002846,408.1465912,-0.812827713,0.736233363,1.583140218
PNJ,2020,3,897.6646326,0.042081794,0.024866942,3.224094132,67.8427085,-0.028402263,0.650135496,1.694473121
PNJ,2020,4,1878.721017,0.084237847,0.051561594,4.012394917,43.11443756,0.110441845,0.61838887,2.171644651
PNJ,2021,1,2254.562861,0.093246205,0.061687734,3.76273031,37.47954934,0.255595661,0.414268012,2.361353694
PNJ,2021,2,979.2869315,0.038818128,0.025723062,4.497665704,102.2172325,6.032649774,0.604454752,2.480411007
PNJ,2021,3,-701.6352315,-0.028289705,-0.01739247,4.57593049,-140.6713853,-1.789408909,0.649277373,2.447526375
PNJ,2021,4,2010.750774,0.078988199,0.046377412,4.07641474,47.8428263,0.069917641,0.75295012,2.073898277
PNJ,2022,1,3171.410267,0.10282864,0.065680889,3.413057332,34.84254344,0.406663048,0.424809355,2.201888905
PNJ,2022,2,1514.376756,0.045770978,0.032727624,4.219462746,84.85338901,0.648428382,0.372345915,2.826290708
PNJ,2022,3,1025.480887,0.030862832,0.021485698,3.431309237,104.3412913,NULL,0.498302737,2.111993853
PNJ,2022,4,1911.831503,0.056115704,0.036458016,2.834823946,47.02297241,0.028735005,0.579461765,1.65819739
PNJ,2023,1,2282.300591,0.084890056,0.057214544,2.979262812,34.04459532,0.038166882,0.395764504,1.986276399
PNJ,2023,2,1029.235667,0.036720905,0.025649065,2.873822314,72.86960839,-0.080225127,0.467562979,1.823185224
PNJ,2023,3,772.3639611,0.027194929,0.019085048,2.93466652,102.0244392,0.004220396,0.383401947,1.979781587
PNJ,2023,4,1925.555289,0.065642106,0.045962074,3.072817196,44.66244126,0.34289169,0.471271896,1.955145012
PNJ,2024,1,2205.308054,0.072760009,0.053861434,3.358347737,44.84634236,-0.014409311,0.238156731,2.551324565
PNJ,2024,2,1280.48763,0.040435661,0.033034302,3.164262665,74.58096255,0.268997395,0.210261252,2.463845353
PNJ,2024,3,638.7447539,0.020324193,0.015455327,3.36836824,154.6783741,-0.148024925,0.421690526,2.231249342
PNJ,2024,4,2162.957476,0.067115095,0.045437967,3.107176435,45.26210113,0.157213609,0.528854908,1.922445276
PNJ,2025,1,2005.674621,0.058969788,0.039144424,2.530029966,41.53216036,-0.081429299,0.484985896,1.615878744
PNJ,2025,2,1293.253933,0.036877909,0.025279615,2.469926487,64.25652216,0.020069574,0.433137752,1.63695281
PNJ,2025,3,1466.992974,0.041375249,0.028984771,2.469762603,56.64648808,1.296681053,0.421837599,1.646847981
POW,2020,1,189.631569,0.01697629,0.008771923,0.609091429,37.3882895,-0.448537053,0.905935765,0.291418045
POW,2020,2,321.6878582,0.028250822,0.015045144,0.81183028,30.15345389,0.096395884,0.850379889,0.398406307
POW,2020,3,44.93334973,0.004043412,0.00218805,0.85459508,228.1156438,-0.843070074,0.845521161,0.422773283
POW,2020,4,380.902101,0.032531177,0.0181981,1.12522711,35.70471248,1.909350008,0.730331924,0.591830992
POW,2021,1,217.0470783,0.018083143,0.010170287,1.072989522,60.81629894,0.121550075,0.825072006,0.536966319
POW,2021,2,362.9327091,0.02713293,0.015147777,0.95148058,33.20174704,0.007265655,0.757971499,0.499684153
POW,2021,3,206.3772918,0.018605782,0.010748904,0.928451401,57.90365739,3.846158087,0.70442051,0.501684741
POW,2021,4,-26.77534756,-3.49E-05,-2.08E-05,1.384023827,-653.5862873,-1.001124191,0.647854989,0.77398799
POW,2022,1,308.0185734,0.025155601,0.014900275,1.273098776,51.45793588,0.418563472,0.729162944,0.676141552
POW,2022,2,180.0561009,0.018341853,0.010416988,1.07724325,75.53201435,-0.321014054,0.79191922,0.551958908
POW,2022,3,28.54708478,0.006231172,0.003524894,0.97599213,432.6186052,-0.666380082,0.743753565,0.511872717
POW,2022,4,363.3830619,0.029282141,0.016969102,0.818148343,29.3079153,NULL,0.707955753,0.438766868
POW,2023,1,228.0237763,0.019376292,0.011318949,0.996622116,57.8887001,-0.191047793,0.715674537,0.53293584
POW,2023,2,53.77463777,0.005359637,0.003023552,1.01246762,249.1881034,-0.690930754,0.829546436,0.506998794
POW,2023,3,35.29593107,0.00155116,0.000834751,0.874114178,328.6497806,-0.739755294,0.887020587,0.42708016
POW,2023,4,126.2962927,0.011774541,0.005961321,0.839698528,89.07624889,-0.584772535,1.062229411,0.374435373
POW,2024,1,118.5518961,0.006362869,0.003026996,0.854413583,96.16041899,-0.667224479,1.142147701,0.36798653
POW,2024,2,167.2862339,0.012983228,0.005754471,1.106410283,89.06889498,1.435477344,1.369349592,0.431415069
POW,2024,3,169.2450748,0.013180192,0.005610538,0.960468458,77.40254787,7.652946123,1.329314519,0.380191834
POW,2024,4,19.57487598,0.002894418,0.001249314,0.879362235,613.030704,-0.748761473,1.304312852,0.351654229
POW,2025,1,190.0574624,0.013547916,0.005879009,0.927680799,67.34805275,1.183323601,1.30459689,0.371265598
POW,2025,2,257.23745,0.021564921,0.009151326,0.928539774,50.53696497,0.724617269,1.407574178,0.355444923
POW,2025,3,345.5786174,0.026324916,0.011064775,0.997546836,41.52455991,1.092346567,1.351455103,0.391806821
PPC,2020,1,421.6383464,0.022447315,0.019134476,1.113974629,50.0428867,-0.442885289,0.131934497,0.984116185
PPC,2020,2,872.7721612,0.046232471,0.040996756,1.27836728,27.55587434,-0.17980699,0.123457888,1.137811819
PPC,2020,3,281.7124037,0.014901285,0.013254956,1.247751099,84.12835107,-0.530980679,0.124944577,1.109048717
PPC,2020,4,1566.752669,0.079917726,0.070277143,1.209729356,15.60552631,0.022665037,0.148677897,1.053054794
PPC,2021,1,431.8378017,0.021772384,0.019555843,1.261961425,56.85004857,0.024190056,0.076634753,1.172038283
PPC,2021,2,374.9802696,0.021591735,0.018486772,1.633191894,66.53683413,-0.570357206,0.284245197,1.271596851
PPC,2021,3,-110.3428231,-0.007248398,-0.00584379,1.513183781,-207.9881532,-1.391686066,0.196153775,1.264941589
PPC,2021,4,199.5158653,0.013070105,0.01125923,1.565780012,120.5417923,-0.872656438,0.125962541,1.390391931
PPC,2022,1,250.8941359,0.01631639,0.014232124,1.429565502,87.68638583,-0.419008399,0.166894711,1.224933352
PPC,2022,2,212.6346367,0.013756439,0.012056296,1.127629665,82.30079666,-0.432944467,0.115358353,1.010774019
PPC,2022,3,483.6784541,0.031125499,0.026653548,1.060860877,34.11357248,NULL,0.220089499,0.8693236
PPC,2022,4,603.580276,0.038120944,0.032620232,0.785479393,20.95827267,2.025224461,0.118936827,0.701755373
PPC,2023,1,124.4135407,0.007692982,0.007059369,0.865685977,112.92983,-0.504119376,0.060796559,0.815838083
PPC,2023,2,503.553224,0.031101933,0.02880392,0.984992759,31.57560957,1.3681618,0.098869727,0.896145216
PPC,2023,3,262.2823297,0.016313705,0.014617786,0.871595317,53.18696084,-0.457734105,0.133312747,0.768903888
PPC,2023,4,295.2992556,0.018667716,0.016331037,0.943952187,49.94933012,-0.510753967,0.153088859,0.81846828
PPC,2024,1,490.9128402,0.032865955,0.024822795,0.958412931,27.80534319,2.945815202,0.511566162,0.633942492
PPC,2024,2,292.6666735,0.020442734,0.014196332,1.126081934,55.35307387,-0.418796942,0.369148691,0.822360668
PPC,2024,3,-16.55942184,-0.001151577,-0.000905365,0.859417635,-745.7989849,-1.063135865,0.174635099,0.731580362
